name,url,salary,id
Python / BE Developer,https://hh.ru/vacancy/78022405,170000,78022405
Data Scientist / ML-engineer (Middle+) со знание python в проект по искусственному интеллекту,https://hh.ru/vacancy/78405101,150000,78405101
Аналитик данных Python и VBA (HR),https://hh.ru/vacancy/78449301,,78449301
Senior Backend Python Developer команда Enabled (MTS AI),https://hh.ru/vacancy/78373203,300000,78373203
"Senior Python developer, New Zealand",https://hh.ru/vacancy/77583549,4750,77583549
Senior Python Developer,https://hh.ru/vacancy/78670445,3000,78670445
Аналитик данных SQL middle (офис),https://hh.ru/vacancy/78302440,140000,78302440
Python разработчик,https://hh.ru/vacancy/76908070,,76908070
Senior Python Developer,https://hh.ru/vacancy/78613988,220000,78613988
Junior Data Scientist в команду b2c,https://hh.ru/vacancy/77972920,,77972920
Инженер DevOps (стажер),https://hh.ru/vacancy/78573564,,78573564
Программист Python,https://hh.ru/vacancy/78333669,,78333669
Head of Backend (Python),https://hh.ru/vacancy/78008215,350000,78008215
Senior Python разработчик (Intelligent Document Processing),https://hh.ru/vacancy/78132241,200000,78132241
Руководитель разработки (Python),https://hh.ru/vacancy/78530847,,78530847
"Преподаватель ""Программирование на языке Python""",https://hh.ru/vacancy/78550224,,78550224
Администратор СУБД PostgreSQL (стажер),https://hh.ru/vacancy/78603219,,78603219
Senior Python developer (FastApi + Django),https://hh.ru/vacancy/78405139,200000,78405139
Инженер по автоматизации тестирования Python,https://hh.ru/vacancy/78583947,,78583947
Middle Data Scientist (Sber AI Lab),https://hh.ru/vacancy/78307298,217750,78307298
Python developer,https://hh.ru/vacancy/78120609,,78120609
"Программист Python (ML, Machine learning, PyTorch) офис",https://hh.ru/vacancy/78192515,,78192515
Python developer,https://hh.ru/vacancy/78200886,220000,78200886
Системный администратор Kubernetes (стажер),https://hh.ru/vacancy/78573272,,78573272
Python-разработчик,https://hh.ru/vacancy/77982718,,77982718
"Инженер (Linux, Python)",https://hh.ru/vacancy/76856011,,76856011
Разработчик Python,https://hh.ru/vacancy/78068669,,78068669
Программист Python Full stack (middle),https://hh.ru/vacancy/78595891,100000,78595891
Senior Python developer,https://hh.ru/vacancy/78036743,350000,78036743
Python-разработчик в команду инфраструктуры,https://hh.ru/vacancy/78283337,,78283337
